SampleID,FASTQ1,FASTQ2,1_unmapped_bam,2_connor_fastq,3_connor_cov
10-TML2S5_S7510-S7710,/mnt/GS-BACKUP05/FASTQ/2025/R7288/zatm/10-TML2S5_S7510-S7710_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7288/zatm/10-TML2S5_S7510-S7710_R2.fastq.gz,no,no,no
1-TML1S1_S7501-S7701,/mnt/GS-BACKUP05/FASTQ/2025/R7288/zatm/1-TML1S1_S7501-S7701_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7288/zatm/1-TML1S1_S7501-S7701_R2.fastq.gz,no,no,no
5-TML4S5_S7550-S7750,/mnt/GS-BACKUP05/FASTQ/2025/R7297/zatm/5-TML4S5_S7550-S7750_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7297/zatm/5-TML4S5_S7550-S7750_R2.fastq.gz,no,no,no
6-TML7S1_S7551-S7751,/mnt/GS-BACKUP05/FASTQ/2025/R7297/zatm/6-TML7S1_S7551-S7751_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7297/zatm/6-TML7S1_S7551-S7751_R2.fastq.gz,no,no,no
1-TMPL1S1_S7509-S7709,/mnt/GS-BACKUP05/FASTQ/2025/R7312/zatm/1-TMPL1S1_S7509-S7709_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7312/zatm/1-TMPL1S1_S7509-S7709_R2.fastq.gz,no,no,no
9-TMPL2S4_S7517-S7717,/mnt/GS-BACKUP05/FASTQ/2025/R7312/zatm/9-TMPL2S4_S7517-S7717_R1.fastq.gz,/mnt/GS-BACKUP05/FASTQ/2025/R7312/zatm/9-TMPL2S4_S7517-S7717_R2.fastq.gz,no,no,no
